06/24/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1529370, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/24/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1380092, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/24/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 6119, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/24/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4492001, Target_RejectedRowCount= 0
06/24/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/28/21, s_m_P_FF_TO_ANAPLAN_CX_SW_ATR, Source_RowCount= 0, Source_RejectedRowCount= 801674 , Target_RowCount= 0, Target_RejectedRowCount= 0
06/28/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 14754, Source_RejectedRowCount= 0, Target_RowCount= 14754, Target_RejectedRowCount= 0
06/28/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 477, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/28/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/28/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 407877, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/28/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1526194, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/28/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1395981, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/28/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 6113, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
06/28/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4327531, Target_RejectedRowCount= 0
06/28/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/05/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/05/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4289299, Target_RejectedRowCount= 0
07/05/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 14825, Source_RejectedRowCount= 0, Target_RowCount= 14825, Target_RejectedRowCount= 0
07/05/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/07/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4527551, Target_RejectedRowCount= 0
07/08/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 14821, Source_RejectedRowCount= 0, Target_RowCount= 14821, Target_RejectedRowCount= 0
07/08/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 477, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 408335, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1527758, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1446127, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/08/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 6156, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/11/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY1, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= @numAffectedRows, Source_RejectedRowCount= @numRejectedRows, Target_RowCount= 4529199, Target_RejectedRowCount= 0
07/12/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 14803, Source_RejectedRowCount= 0, Target_RowCount= 14803, Target_RejectedRowCount= 0
07/12/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 475, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 408094, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1526824, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1462281, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/12/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 6186, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
07/15/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 475, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
